Supplier Stock Code,Stock Code,Description,UnitCost
DRE1206,4885,blk floral strap sundress,2.00
DRE1208,4886,blue daisy strap sundress,2.00
DRE1208Blue,4887,black daisy strap sundress,2.00
DRE1208RED,4888,salmon daisy strap sundress,2.00
DRE1205navy,4889,navy bird print strap dress,2.33
DRE1205blue,4890,blue dress - white bird print,2.33
DRE1205cream,4891,cream dress-pink paisly print,2.33
DRE1205berry,4892,pink dress - black rose print,2.33
TOP3848blue,4893,3/4 collarless ryl blue top,1.25
TOP3848red,4894,3/4 collarless red top,1.25
TOP3848yellow,4895,3/4 collarless yellow top,1.25
JAC1379,4896,black blazer swallow print,3.00
TOP3818,4897,floral chiffon top- blk pannel,1.66
SKI0686,4898,grey lace short skirt,1.50
SKIO68GRY,4899,cream lace short skirt,1.50
SKI0686PEACH,4900,peach lace skirt,1.50
TOP3461,4901,pink satin frill front blouse,2.00
DRE1125,4902,blk floral dress - satin trim,2.00
TOP3690,4903,navy lace panel chiffon vest,2.00
TOP3690CRM,4904,cream lace panel chiffon vest,2.00
TSH1578,4905,mens s/s asst v-neck tshirt,0.90
TSH1582,4906,mens red propaganda tshirt,0.95
TSH1583,4907,mens white surf print tshirt,1.00
SH00681,4908,mens navy swim shorts,2.00
TSH1585,4909,mens england style shirt,1.25
TSH1586,4910,mens england printed t-shirt,1.25
SHOO680,4911,mens england zip 3/4 trousers,2.00
TOP3689,4912,floral top with mock shrug,2.25
